"","mon","yr","AWND","SNOW","SNWD","TAVG","TMAX","TMIN","WSF2","WSF5","CO","SO","NO","PM25"
"32",8,2016,5.36129032258065,0,0,80.9677419354839,91.8709677419355,72.3225806451613,14.6096774193548,19.3935483870968,0.207692307692308,0.392307692307692,7.89354838709677,8.75294117647059
"33",9,2016,5.87533333333333,0,0,75.4666666666667,85.4666666666667,67.2666666666667,14.8333333333333,20.2166666666667,0.23448275862069,0.386666666666667,10.0551724137931,8.20344827586207
"34",10,2016,5.53483870967742,0,0,63.6774193548387,75.258064516129,53.4838709677419,14.6290322580645,20.3806451612903,0.341935483870968,0.46,15.3354838709677,10.2709677419355
"35",11,2016,4.302,0,0,52.2333333333333,66.2333333333333,39.4,13.6333333333333,19.0966666666667,0.7,0.81,25.18,16.0766666666667
"36",12,2016,5.23161290322581,0,0,44.9032258064516,54.2903225806452,34.8064516129032,14.4161290322581,20.1258064516129,0.432142857142857,0.855172413793103,20.0677419354839,13.258064516129
"37",1,2017,6.60290322580645,0.5,3.6,46.4838709677419,55.3870967741936,37.5483870967742,16.8903225806452,23.3533333333333,0.332258064516129,0.664516129032258,17.1,5.94545454545455
"38",2,2017,6.29642857142857,0,0,53.3571428571429,66.6071428571429,39.9285714285714,17.2392857142857,23.7607142857143,0.371428571428571,0.825,22.1481481481481,8.63333333333333
"39",3,2017,7.90129032258065,0.3,0,52.2258064516129,64.0967741935484,39.9032258064516,19.3903225806452,27.0096774193548,0.32258064516129,0.493333333333333,18.6724137931034,5.5
"40",4,2017,8.48466666666667,0,0,66.0333333333333,77.5333333333333,55.4333333333333,18.9533333333333,25.2033333333333,0.263333333333333,0.28,11.83,7.27
"41",5,2017,7.20903225806452,0,0,69.0645161290323,79.2903225806452,59.4193548387097,17.6612903225806,24.5,0.254838709677419,0.179310344827586,9.80322580645161,7.31818181818182
"42",6,2017,6.09266666666667,0,0,75.2333333333333,86.3333333333333,64.7666666666667,16.62,22.8896551724138,0.284,0.427272727272727,9.28333333333333,7.6
"43",7,2017,6.12612903225806,0,0,80.9032258064516,92.5806451612903,71.3225806451613,15.7225806451613,20.6774193548387,0.233333333333333,0.131818181818182,7.46774193548387,8.2
"44",8,2017,5.74451612903226,0,0,78.0645161290323,88.3225806451613,69.2258064516129,15.0741935483871,20.4548387096774,0.267741935483871,0.0724137931034483,7.30322580645161,8.92727272727273
"45",9,2017,5.659,0,0,71,82.7666666666667,61.0333333333333,15.6633333333333,21.3933333333333,0.293333333333333,0.213333333333333,10.3233333333333,8.39
